Complex_id;Complex_name;subunits__UniProt_IDs
1;BCL6-HDAC4 complex;P41182,P56524
2;BCL6-HDAC5 complex;P41182,Q9UQL6
3;BCL6-HDAC7 complex;P41182,Q8WUI4
4;Multisubunit ACTR coactivator complex;Q92793,Q09472,Q9Y6Q9,Q92831
10;13S condensin complex;Q15021,Q9BPX3,Q15003,O95347,Q9NTJ3
11;BLOC-3 biogenesis of lysosome-related organelles complex 3;Q92902,Q9NQG7
12;BLOC-2 biogenesis of lysosome-related organelles complex 2;Q969F9,Q9UPZ3,Q86YV9
13;MUS81-CDS1 complex;Q92903,Q96NY9
15;NCOR complex;Q92828,Q13227,O15379,O75376,O60907,Q9BZK7
23;BLOC-1 biogenesis of lysosome-related organelles complex 1;P78537,Q6QNY1,Q6QNY0,Q9NUP1,Q96EV8,Q8TDH9,Q9UL45,O95295
27;Arp2/3 protein complex;P61160,P61158,O15143,O15144,O15145,P59998,O15511
29;PA28gamma complex;P61289
30;PA28 complex;Q06323,Q9UL46
32;PA700 complex;P62191,P35998,P17980,P43686,P62195,P62333,Q99460,O75832,O00231,O00232,Q9UNM6,O00487,Q13200,O43242,P55036,Q16401,Q15008,P51665,P48556,O00233
33;Prefoldin;O60925,Q9UHV9,Q9NQP4,Q99471,O15212,P61758
36;AP1 adaptor complex;Q10567,O43747,O75843,Q9BXS5,Q9Y6Q5,P61966,P56377,Q96PC3
41;Mi-2/NuRD-MTA2 complex;P41182,Q13547,O95983,O94776,Q9BTC8
43;Gamma-secretase complex APH1A	 PSEN1	 PSENEN	 NCSTN variant;Q96BI3,Q92542,P49768,Q9NZ42
45;Gamma-secretase complex APH1A	 PSEN1	 PSENEN	 NCSTN variant;Q96BI3,Q92542,P49768,Q9NZ42
49;DNMT3B complex;Q9UBC3,Q13547,O95239,Q96ST3,O60264,O95347,Q9NTJ3
54;SIN3 complex;Q13547,Q92769,Q09028,Q16576,O00422,O75446,Q96ST3
55;HDAC4-ERK1 complex;P56524,P27361
57;HDAC4-ERK2 complex;P56524,P28482
58;SMRT complex;Q13227,O15379,Q9Y618,O60907,Q9BZK7
59;AP3 adapter complex;O00203,Q13367,O14617,Q9Y2T2,P53677,Q92572,P59780
60;Interferon-stimulated gene factor 3 transcription complex ISGF3;Q00978,P42224,P52630
61;Mi2/NuRD complex;Q14839,Q13547,Q92769,O95983,O94776,Q09028,Q16576
62;MeCP1 complex;Q14839,Q13547,Q92769,Q9UBB5,O95983,O94776,Q09028,Q16576
63;Mitotic 14S cohesin 1 complex;O60216,Q14683,Q9UQE7,Q8WVM7
64;Mitotic 14S cohesin 2 complex;O60216,Q14683,Q9UQE7,Q8N3U4
66;TRAP complex;Q15648,Q93074,O60244,Q9Y2X0,Q9NVC6,O75448,P10827,Q9Y2W1
67;AP4 adaptor complex;Q9Y6B7,Q9UPM8,O00189,Q9Y587
68;BCDX2 complex;O43502,O15315,O75771,O43543
71;MRN complex MRE11-RAD50-NBS1 complex;P49959,O60934,Q92878
72;R/M complex RAD50-MRE11 complex;P49959,Q92878
73;MRN complex MRE11-RAD50-NBN complex;P49959,O60934,Q92878
75;TSC1-TSC2 complex;Q92574,P49815
80;Ubiquitin E3 ligase Skp1A	 Skp2	 Cul1	 Rbx1;Q13616,P62877,P63208,Q13309
81;Ubiquitin E3 ligase SKP1A	 FBXW8	 CUL7	 RBX1;Q14999,Q8N3Y1,P62877,P63208
86;NUMAC complex nucleosomal methylation activator complex;P60709,O14497,Q86X55,Q96KG9,P51532,Q12824,Q92922,Q8TAQ2,Q96GM5,Q969G3
87;Nup 107-160 subcomplex;P57740,Q8WUM0,Q12769,Q8NFH4,Q8NFH3,Q9BW27,P52948,P55735,Q96EE3
89;Sec6/8 exocyst complex;Q9NV70,Q96KP1,O60645,Q96A65,O00471,Q8TAG9,Q9UPT5,Q8IYI6
91;FA complex Fanconi anemia complex	 cytoplasmic;O15360,Q00597,Q9NPI8,O15287
92;CD28-transactivation complex;P10747,P19338
