Complex_id;Complex_name;subunits__UniProt_IDs
9;6S-nuclear aryl hydrocarbon Ah receptor ligand-activated complex;P30561,P53762
14;BLOC-2 biogenesis of lysosome-related organelles complex 2;Q91VB4,P59438,Q8BLY7
24;BLOC-1 biogenesis of lysosome-related organelles complex 1;O55102,Q9CWG9,Q5U5M8,Q8VED2,Q91WZ8,Q8R015,Q9R0C0,Q9Z266
25;9S-cytosolic aryl hydrocarbon Ah receptor non-ligand activated complex;P30561,O08915,P07901,P11499
37;CDH23-harmonin transmembrane complex;Q99PF4,Q9ES64
38;20S proteasome;Q9R1P4,P49722,O70435,Q9R1P0,Q9Z2U1,Q9QUM9,Q9Z2U0,O09061,Q9R1P3,Q9R1P1,P99026,O55234,Q60692,P70195
39;immunoproteasome;Q9R1P4,P49722,O70435,Q9R1P0,Q9Z2U1,Q9QUM9,Q9Z2U0,O09061,O35955,Q9R1P3,Q9R1P1,P99026,P28063,P28076
40;COP9 signalosome complex Gps1	 Cops1	 Cops2	 Cops3	 Cops4	 Cops5	 Cops6	 Cops7a	 Cops7b	 Cops8 ;P61202,O88543,O88544,O35864,O88545,Q9CZ04,Q8BV13,Q8VBV7,Q99LD4
44;CASK-MINT complex;Q8BMF2,O70589
47;DNA polymerase alpha-primase complex;P33609,P33611,P20664,P33610
50;Rab5 GDP/GTP exchange factor complex;O35551,Q9JM13
51;CCT micro-complex;P11983,P80314,P80318,P80315,P80316,P80317,P80313,P42932
52;CCT complex chaperonin containing TCP1 complex;P11983,P80314,P80318,P80315,P80316,P80317,P80313,P42932
77;nNos-Capon-Dexras1 complex;Q9Z0J4,Q9D3A8,O35626
97;Anaphase-promoting complex;P53995,Q8K2H6,Q8BZQ7,Q91W96,Q8BTZ4,Q9WVM3,Q3V036,Q8R349,Q8BGZ4
101;Nucleolar remodeling complex NoRC complex;Q91YE5,Q91ZW3
102;Meiotic cohesin complex;Q8C5S7,Q920F6,Q9CW03,P70281
106;Srf-myogenin-E12 complex;P12979,Q9JM73,P15806
109;Fertilin complex Adam1b	 Adam2;Q8R534,Q60718
122;MCM complex;P97310,P25206,P49717,P49718,P97311,Q61881
128;ORC complex origin recognition complex;Q9Z1N2,Q60862,Q9JK30,O88708,Q9WUV0,Q9WUJ8
130;Gamma-secretase complex Aph1a	 Psen1	 Psenen	 Ncstn;Q8BVF7,P57716,P49769,Q9CQR7
131;Skeletal muscle sarcoglycan complex SGC	 alpha-beta-gamma-delta;P82350,P82349,P82347,P82348
132;CCT complex chaperonin containing TCP1 complex;P11983,P80314,P80318,P80315,P80316,P80317,P80313,P42932
141;Sos1-Abi1-Eps8 complex;Q8CBW3,Q08509,Q62245
146;Src-dynamin-synapsin complex;P05480,O88935,P39053,P39054
154;Src1-Ep300-Crebbp complex;P45481,Q8BJ14,P70365
161;SWAP complex;P09405,Q61937,P11103,Q6A028
168;Protein-sorting complex Stam2	 Hgs	 Eps15;P42567,Q99LI8,O88811
187;Wave-2 complex Rac-activated;Q8CBW3,Q7TMB8,P28660,Q8BPG5,Q8BH43
188;Wave-2 complex;Q8CBW3,Q7TMB8,P28660,Q8BH43
216;PDZK1-NaPiIIa-MAP17 complex;Q9JIL4,Q9CQH0,Q60825
235;WICH complex;Q9Z277,Q91ZW3
239;Sin3-Hdac1-Sds3 complex;O09106,Q62141,Q8BR65
249;Caspase-2-TRAF2-RIP1 complex;P29594,Q62172,P39429
255;TBPIP/HOP2-Mnd1 complex;Q8K396,O35047
257;Hop2-Mnd1 complex;Q8K396,O35047
272;Dysbindin-pallidin-muted-beta-dystrobrevin complex;O70585,Q91WZ8,Q8R015,Q9R0C0
293;PCNA-DNA polymerase delta complex;P17918,P52431,O35654,Q9EQ28,Q9CWP8
294;DNA polymerase delta complex;P52431,O35654,Q9EQ28,Q9CWP8
295;PCNA-DNA ligase complex;P37913,P17918,O35654,Q9EQ28
296;Pcna-Msh2-Msh6 complex;P43247,P54276,P17918
317;Brain-derived dystrobrevin-syntrophin complex;P11531,Q9D2N4,O70585,Q61234,Q99L88,Q61235,Q925E1,Q925E0
318;Muscle-derived dystrobrevin-syntrophin complex;Q9D2N4,Q61234,Q99L88,Q61235,Q925E1,Q925E0
325;Skeletal muscle sarcoglycan complex SGC	 beta-gamma-delta-zeta;P82349,P82347,P82348,Q8BX51
326;Smooth muscle sarcoglycan complex SGC	 beta-delta-zeta;P82349,P82347,Q8BX51
329;Skeletal muscle sarcoglycan complex SGC	 alpha-beta-gamma-delta;P82350,P82349,P82347,P82348
332;Skeletal muscle sarcoglycan complex SGC	 alpha-beta-epsilon-gamma;P82350,P82349,O70258,P82348
333;Skeletal muscle sarcoglycan complex SGC	 alpha-beta-gamma-delta;P82350,P82349,P82347,P82348
334;Skeletal muscle sarcoglycan complex SGC	 epsilon-beta-gamma-delta;P82349,P82347,O70258,P82348
337;Dystrophin-sarcoglycan-syntrophin complex	 skeletal muscle;P11531,P82350,P82349,P82347,P82348,Q61234,Q99L88,Q61235,Q925E1,Q925E0
346;Sarcoglycan-sarcospan-dystroglycan complex;Q62165,P82350,P82349,P82347,P82348,Q62147
347;Sarcoglycan-sarcospan-complex SG-SPN;P82350,P82349,P82347,P82348,Q62147
349;Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex;P82350,P82349,P82347,P82348,Q61234,Q99L88,Q62147,Q9D2N4,O70585
358;DNA ligase IV-Xrcc4-DNA-protein kinase complex;Q8BTF7,P97313,Q924T3
366;Rag1-Rag2 protein-DNA complex;P15919,P21784
367;Rag1-Rag2-Ku70-Ku80 protein-DNA complex;P63158,P15919,P21784,P27641,P23475
381;Respiratory chain complex I	 mitochondrial;Q91WP8,Q9MD59,Q9MD82,P03888,P03911,Q99LC3,Q7TMF3,Q9ERS2,Q9CQ75,Q9CQ91,Q62425,Q9CPP6,Q9CQZ5,Q9Z1P6,Q9DCJ5,Q9DC69,Q9CR21,Q9DCS9,O09111,Q9CQZ6,Q9CQC7,Q9CQH3,Q3UIU2,Q9CR61,Q9D6J5,Q9CQJ8,Q9CQ54,Q91VD9,Q91WD5,Q9DCT2,Q9CXZ1,Q99LY9,P52503,Q9DC70,Q8K3J1,Q91YT0,Q9D6J6
