Complex_id;Complex_name;subunits__UniProt_IDs
34;Aqp4-Dag1-Dmd-Snta1 complex;P47863,Q91XP6,Q498T0,Q7TPH2,Q7TPH3,Q7TPH4
42;CASK-MINT-VELI tripartite complex;O35430,Q62915,Q9Z250,Q9Z252,Q792I0
53;Gbeta5-rgs7 complex;P62882,P49803
56;Elongin (SIII) complex;P83941,P62870,Q63187
65;Multiprotein trafficking complex;O35430,Q62915,Q62696,P52188,Q792I0
69;ApoB RNA editing enzyme complex;Q923K9,P38483,Q99PF5
70;CLIC4 complex;P60711,P07335,Q9Z0W7,P39052,P68370,P62260,P63102
76;Cytoplasmic dynein complex;P63036,P38650,Q63100,Q62871,Q9QXU8,Q9JJ79,P63170,P62628,Q9Z336
78;nNos-Capon-Dexras1 complex;P29476,O54960,Q9JKF8
79;nNos-Capon-Syn1 complex;P29476,O54960,P09951
82;Ubiquitin E3 ligase (Vhl	 Tceb1	 Tceb2	 Cul2	 Rbx1);Q9D4H8,Q498D8,P83941,P62870,Q64259
84;Nucleic acid channel complex;O88989,P70581
88;SNARE complex (Scfd1	 Sec22b	 Stx5	 Bet1	 Gosr2	 Gosr1);Q62896,Q62931,O35165,Q62991,Q4KM74,Q08851
108;ApoB mRNA editing enzyme complex;Q923K9,P38483,Q99PF5
139;SDH-mABC1-PIC-ANT-ATPase complex;Q5RKI8,P15999,Q920L2,P21913,P16036,Q05962,Q09073
147;Src-dynamin-synapsin complex;P21575,Q9WUD9,P09951
148;Src-dynamin-synapsin-alpha-adaptin complex;P18484,P21575,Q9WUD9,P09951
158;ATP synthasome;P15999,P10719,P35435,P35434,P29418,P19511,Q06645,Q06646,Q71S46,P31399,P29419,P21571,Q06647,P05504,P11608,P16036,Q09073
170;Ric-8A G(i) alpha-1 subunit complex;P10824,Q80ZG1
171;Ric-8A G(i) alpha-2 subunit complex;P04897,Q80ZG1
172;Ric-8A G(o) alpha-1 subunit complex;P59215,Q80ZG1
174;Ric-8A G(o) alpha-2 subunit complex;P59215,Q80ZG1
175;Ric-8A G(q) alpha subunit complex;P82471,Q80ZG1
176;Ric-8A G alpha 13 complex;Q6Q7Y5,Q80ZG1
179;Nephrin multiprotein complex;Q62915,B5DFH1,O88382,Q9R044,Q9WUX0,P16086,Q9Z1P2,Q9QXQ0
182;Synaptotagmin-sodium channel complex (Syt1-Scn1a-Scn1b);P04774,Q00954,P21707
183;Synaptotagmin-sodium channel complex (Syt2-Scn1a-Scn1b);P04774,Q00954,P29101
184;Synaptotagmin-sodium channel complex  (Syt1-Scn2a-Scn1b);Q00954,P04775,P21707
185;Synaptotagmin-sodium channel complex (Syt2-Scn2a-Scn1b);Q00954,P04775,P29101
195;Ubiquitin E3 ligase (Lrrc41	 Tceb1	 Tceb2	 Cul5	 Rbx1);Q9JJ31,Q5M9H1,Q498D8,P83941,P62870
196;Ubiquitin E3 ligase (Vhl	 Tceb1	 Tceb2	 Cul5	 Rbx1);Q9JJ31,Q498D8,P83941,P62870,Q64259
197;Ubiquitin E3 ligase (Vhl	 Tceb1	 Tceb2	 Cul2	 Rbx1);Q9D4H8,Q498D8,P83941,P62870,Q64259
198;Ubiquitin E3 ligase (Tceb1	 Tceb2	 Tceb3	 Cul5	 Rbx1);Q9JJ31,Q498D8,P83941,P62870,Q63187
199;Ubiquitin E3 ligase (Socs1	 Tceb1	 Tceb2	 Cul5	 Rbx1);Q9JJ31,Q498D8,Q9QX78,P83941,P62870
200;Ubiquitin E3 ligase (Wsb1	 Tceb1	 Tceb2	 Cul5	 Rbx1);Q9JJ31,Q498D8,P83941,P62870,Q4KM78
203;Ubiquitin E3 ligase (Med8	 Tceb1	 Tceb2	 Cul2	 Rbx1);Q9D4H8,Q9D7W5,Q498D8,P83941,P62870
204;Ubiquitin E3 ligase (Asb2	 Tceb1	 Tceb2	 Cul5	 Rbx1);Q5U2S6,Q9JJ31,Q498D8,P83941,P62870
237;Ags3-Lkb1-Gnai3 complex;P08753,Q9R080
316;Dystrophin associated complex DPC (Dmd	 Dtnb)	 brain-derived;P84060,Q7TPH2,Q7TPH3,Q7TPH4
372;F0F1 ATP synthase	 mitochondrial;P15999,P10719,P35435,P35434,P29418,P19511,P31399,P29419,P21571,P56135,Q03344,Q6PDU7,P05504,P11608,Q06645,Q06646,Q71S46
397;Succinyl-CoA synthetase	 ADP-forming;P13086,Q499V7
405;Glucosidase 2;Q14697,P14314
409;Gamma-glutamylcysteine synthetase;P19468,P48508
417;COX-2-Cav-3 complex;P51638,P35355
418;H/ACA ribonucleoprotein complex;P40615,Q6AYA1,Q9CRB2,Q9CQS2
5850;p65-p65 Nf(kappa)B complex	 Il-1-beta induced;Q7TQN4
421;SAP97-Cav-3-Kv1.5 complex;P51638,Q62696,P19024
437;AQP2-binding multiprotein force generator complex;Q9QXQ0,Q07936,P48037,P34080,Q68FP1,Q9EQX4,Q62812,P18666,P13832,Q7TQ08,Q6I7S1,P16086,P21107,P60711,P63259
447;Kir4.1-dystrophin complex	 retinal Mueller cells;P49655,Q7TPH2,Q7TPH3,Q7TPH4
448;Kir4.1-alpha-syntrophin complex	 retinal Mueller cells;P49655,Q498T0
449;Kir4.1-beta-dystroglycan complex	 retinal Mueller cells;Q91XP6,P49655
450;Kir4.1-Aqp4 complex	 retinal Mueller cells;P47863,P49655
451;Kir4.1-dystrobrevin complex	 retinal Mueller cells;P84060,P49655
452;Retinal Mueller cells Aqp4-alpha-syntrophin complex;P47863,Q498T0
453;Retinal Mueller cells Aqp4-beta-dystroglycan complex;P47863,Q91XP6
457;Dystrophin-associated glycoprotein complex DGC (Dag1	 Dp71f	 Sgcd	 Snta1)	 retinal glia cells;Q91XP7,P11531,P82347,Q498T0
458;Dystrophin-associated glycoprotein complex DGC (Dag1	 Dp71f	 Utrn)	 retinal glia cells;Q91XP7,P11531,O55147
464;InsP3R1-HAP1A-Htt complex;P54256,P51111,P29994
479;Mupp1-Dlg4-Syngap1-CamkII complex;P11275,P08413,P31016,O55164,Q9QUH6
512;AQP-1 regulatory complex;P29975,P35525,P08753,Q63664,P14423
515;Inner medullary AKAP-signaling complex;P09217,P63329,P20651,P12368,P12369
516;Cytochrome bc1-complex (EC 1.10.2.2)	 mitochondrial;Q9D0M3,P00159,A9UMV7,Q8R1I1,B2RYS2,Q68FY0,P32551,P20788,Q5M9I5,Q7TQ16
523;Yotiao-RII-NR1 complex;Q9JHE0,P35439,P12368,P12369
532;M1 mAChR-TRPC6-multiprotein complex;P62161,P08482,Q62658,P05696,Q99N77,P63329,P20651
534;M1 mAChR-TRPC6-PKC complex;P08482,P05696,Q99N77
546;Cytochrome c oxidase (EC 1.9.3.1)	 mitochondrial;P10888,P11240,P12075,P10818,P80430,P11950,P35171,P80431,P80432,P80433,P05503,P00406,P05505
567;Clathrin-CAP-1A-Na(v)1.8 channel complex;Q8CJ99,Q62968,P08081,P08082,P11442
