Complex_id;Complex_name;subunits__UniProt_IDs
0;TRAPP complex;YKR068C,YML077W,YDR108W,YGR166W,YDR407C,YMR218C,YBR254C,YDR246W,YDR472W,YOR115C
1;histone deacetylase complex;YNL021W,YDR295C,YPR179C
2;Ada2p/Gcn5p/Ada3 transcription activator complex;YDR448W,YOR023C,YGR252W,YPL254W,YDR176W
3;chromatin accessibility complex;YJL065C,YDR121W,YOR304W,YGL133W
4;Mst27p/Mst28p complex;YGL051W,YAR033W
5;eEF1;YPL048W,YAL003W,YPR080W,YBR118W,YKL081W
6;Cbf1p/Met4p/Met28p complex;YJR060W,YIR017C,YNL103W
7;Prp9p/Prp11p/Prp21p complex(SF3a complex);YDL043C,YJL203W,YDL030W
8;Met4p/Met28p/Met31p complex;YIR017C,YPL038W,YNL103W
9;Exocyst complex;YJL085W,YBR102C,YLR166C,YGL233W,YER008C,YDR166C,YIL068C,YPR055W
10;Ssh1p translocon complex;YER019C-A,YBR283C,YDR086C
11;Kel1p/Kel2p complex;YHR158C,YGR238C
12;TRAMP complex (Air2p);YDL175C,YJL050W,YOL115W
13;cAMP-dependent protein kinase;YIL033C,YJL164C,YPL203W,YKL166C
14;Mto1p/Mss1p complex;YMR023C,YGL236C
15;Bub1p/Bub3p complex;YGR188C,YOR026W
16;Mks1p/Rtg2p complex;YNL076W,YGL252C
17;Mon1p/Ccz1p complex;YBR131W,YGL124C
18;Arp2/3 protein complex;YIL062C,YLR370C,YKL013C,YNR035C,YBR234C,YDL029W,YJR065C
19;GINS complex;YDR013W,YJL072C,YOL146W,YDR489W
20;MSH2p/MSH6p complex;YOL090W,YDR097C
21;ribonuclease H2 complex;YNL072W,YDR279W,YLR154C
22;Gip1p/Glc7p complex;YBR045C,YER133W
23;Sur1p/Csg2p complex;YBR036C,YPL057C
24;20S proteasome;YER012W,YOR362C,YPR103W,YJL001W,YFR050C,YMR314W,YOL038W,YBL041W,YML092C,YGR135W,YOR157C,YGR253C,YER094C,YGL011C
25;Dcs1p/Dcs2 heterodimer;YLR270W,YOR173W
26;DNA-directed RNA polymerase II complex;YOR210W,YOL005C,YOR151C,YIL021W,YJL140W,YBR154C,YDR404C,YOR224C,YGL070C,YHR143W-A,YDL140C,YPR187W
27;Rad17p/Ddc1p/Mec3p complex;YPL194W,YLR288C,YOR368W
28;transcription factor TFIIIC complex;YBR123C,YAL001C,YGR047C,YDR362C,YOR110W,YPL007C
29;HIR complex;YBL008W,YOR038C,YJR140C,YBR215W
30;nucleotide-excision repair factor 4 complex;YKL112W,YPL046C,YBR114W,YJR052W
31;Telomerase;YLR233C,YLR318W,YIL009C-A
32;adoMet-dependent tRNA methyltransferase (Mtase) Complex;YOL124C,YNR046W
33;Sko1p/Cyc8p/Tup1 repressor complex;YBR112C,YNL167C,YCR084C
34;Nup84p complex;YDL116W,YJR042W,YKL057C,YGL092W,YLR208W,YGL100W
35;Origin recognition complex;YML065W,YBR060C,YLL004W,YPR162C,YNL261W,YHR118C
36;mitochondrial sorting and assembly machinery complex;YAL010C,YHR083W,YMR060C,YNL026W
37;Mlh1p/Mlh3p complex;YMR167W,YPL164C
38;H+-transporting ATPase, vacuolar;YEL027W,YHR026W,YDL185W,YPL234C,YHR039C-A,YPR036W,YBR127C,YOR332W,YKL080W,YLR447C,YGR020C,YEL051W,YOR270C
39;Cdc28p/Clb5p complex;YBR160W,YPR120C
40;nucleolar ribonuclease P complex;YNL221C,YNL282W,YBR257W,YAL033W,YGR030C,YBR167C,YBL018C,YIR015W,YHR062C
41;mitochondrial processing peptidase complex;YLR163C,YHR024C
42;GARP complex;YKR020W,YDR484W,YJL029C,YDR027C
43;Mob1p/Dbf2p complex;YGR092W,YIL106W
44;DNA replication factor C complex (Rad24p);YER173W,YJR068W,YNL290W,YOL094C,YBR087W
45;Ela1p/Elc1p complex;YNL230C,YPL046C
46;ESCRT II complex;YPL002C,YJR102C,YLR417W
47;CCAAT-binding factor complex;YGL237C,YBL021C,YKL109W,YOR358W
48;Sap190p/Sit4p complex;YKR028W,YDL047W
49;NC2 complex;YER159C,YDR397C
50;Rad53p/Asf1p complex;YJL115W,YPL153C
51;Phenylalaninine-tRNA-ligase;YLR060W,YFL022C
