Complex_id;Complex_name;subunits__UniProt_IDs
28;Modulator;Q3SZ81,Q2KIW6,Q3SZ19
31;PA28 complex;Q2KJE7,Q5E9G3
83;Tubulin:stathmin complex;Q3T0C7,P81948,Q6B856
124;RGS9-GNB5-GNAT1-R9AP complex;P04695,O46469,Q8MJG0
150;CCT complex chaperonin containing TCP1 complex	 testis specific;Q32L40,Q3ZBH0,Q3T0K2,Q2T9X2,Q3T115,Q3T084,Q2NKZ1,Q3ZCI9
309;RC complex;P33609,Q58D13,P28339,P49004,P20664,P33610,P35601,Q9WUK4,Q2TBV1,Q3UI84,Q9D0F6
323;28S ribosomal subunit	 mitochondrial;P82922,P82670,P82911,Q6B860,P82913,P82915,P82916,P82919,P82918,P82917,P82923,P82920,P82649,Q2NL27,Q2M2T7,P82669,Q3SZ86,Q32PI8,P82928,P82924,P82925,P82927,P82926,P82929,Q2YDF6,P82908,Q2KID9,P82931,Q3T040,Q58DQ5
364;RC-1 complex recombination complex 1;P97386,Q9WVF7,O54956,O97593,Q8CG48
373;Vacuolar ATPase;P40682,P81134,Q29466,P23956,P61420,P81103,P31404,P21282,P39942,P11019,Q28029,P79251,P31407,P31408
388;Respiratory chain complex I	 mitochondrial;P03887,P03892,P03898,P03910,P03902,P03920,P03924,Q02377,P34942,Q8HXG6,O97725,Q95KV7,Q02370,Q02371,Q01321,P23935,Q02366,Q05752,P42029,P34943,P52505,Q02378,Q02373,Q8HXG5,Q02374,Q02365,P48305,Q02380,Q02367,Q02368,Q02372,Q02369,Q02376,Q02827,P15690,P17694,P23709,Q02375,Q02379,P23934,P42026,P42028,P25708,P04394,P25712
399;Respiratory chain complex I	 mitochondrial;P03887,P03892,P03898,P03910,P03902,P03920,P03924,Q02377,P34942,Q8HXG6,O97725,Q95KV7,Q02370,Q02371,Q01321,P23935,Q02366,Q05752,P42029,P34943,P52505,Q02378,Q02373,Q8HXG5,Q02374,Q02365,P48305,Q02380,Q02367,Q02368,Q02372,Q02369,Q02376,Q02827,P15690,P17694,P23709,Q02375,Q02379,P23934,P42026,P42028,P25708,P04394,P25712
400;Respiratory chain complex I subcomplex I alpha	 mitochondrial;P03924,Q02377,P34942,Q8HXG6,O97725,Q95KV7,Q02370,Q02371,P23935,Q02366,Q05752,P42029,P34943,P52505,P48305,Q02368,P15690,P17694,P23709,P23934,P42026,P42028,P25708,P04394,P25712
401;Respiratory chain complex I subcomplex I lambda	 mitochondrial;O97725,Q95KV7,Q02370,P23935,Q05752,Q02368,P15690,P17694,P23709,P23934,P42026,P42028,P25708,P04394,P25712
402;Respiratory chain complex I subcomplex I beta	 mitochondrial;P03910,P03920,P52505,Q02378,Q02373,Q8HXG5,Q02374,Q02365,P48305,Q02380,Q02367,Q02368,Q02372,Q02369
403;Cytochrome bc1-complex EC 1.10.2.2	 mitochondrial;P00125,P00157,P07552,P00130,P00129,P31800,P23004,P13272,P00126,P13271
406;N-acetylglucosamine-1-phosphotransferase;Q3T906,Q58CS8
439;Phosphatidylinositol 3-kinase complex PIK3CA	 PIK3R1;P32871,P23727
442;Vacuolar ATPase;P23956,P61420,P31404,P21282,P39942,P11019,Q28029,P79251,O46563,Q29466,O97681,P31407,P31408
446;Succinate dehydrogenase complex II EC 1.3.5.1	 mitochondrial;P31039,Q3T189,P35720,Q95123
487;Cytochrome bc1-complex EC 1.10.2.2	 mitochondrial;P00125,P00157,P07552,P00130,P00129,P31800,P23004,P13272,P00126,P13271
